"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Успешная авторизация при вводе login = tomsmith","881","Успешная авторизация с валидными данными","","2026-02-20","passed","2026-02-20","","test_form","",""
"Неуспешная авторизация при вводе login = 123","812","Неуспешная авторизация с невалидными данными","","2026-02-20","passed","2026-02-20","","test_form","",""
